# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	4	7	time	LINE	absent	NA	hetero	homo	-1	NA	NA	NA	absent	4504.33166797
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	4	8	time	LINE	absent	NA	hetero	homo	-1	NA	NA	NA	absent	4503.11364001
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	4	9	time	LINE	present	NA	hetero	homo	12	5084.11512879	NA	NA	present	2321.38345804
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	4	10	time	LINE	present	NA	hetero	homo	5	3916.49948582	NA	NA	present	1152.72305097
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	1	space	LINE	absent	12	hetero	homo	NA	NA	absent	1559.59373299	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	2	space	LINE	present	12	hetero	homo	NA	NA	present	1107.918225	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	3	space	LINE	present	16	hetero	homo	NA	NA	present	717.817512981	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	4	space	LINE	present	8	hetero	homo	NA	NA	present	610.604931018	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	5	space	LINE	absent	16	hetero	homo	NA	NA	absent	919.396777987	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	6	space	LINE	absent	8	hetero	homo	NA	NA	absent	1019.94662301	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	7	space	LINE	absent	16	hetero	homo	NA	NA	absent	1495.70634199	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	8	space	LINE	absent	8	hetero	homo	NA	NA	absent	789.54119503	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	5	9	space	LINE	present	16	hetero	homo	NA	NA	present	698.965277988	NA	NA
